,1,2,3,4,5,6,7,8,9,10
Solver Status,ok,ok,failed,failed,failed,failed,failed,failed,failed,failed
Termination Condition,optimal,optimal,infeasible,infeasible,infeasible,infeasible,infeasible,infeasible,infeasible,infeasible
Objective,2677227.478397411,1813633.374529706,0,0,0,0,0,0,0,0
"alpha[ad,1]",0,0,0,0,0,0,0,0,0,0
"alpha[ad,2]",0,0,0,0,0,0,0,0,0,0
"alpha[ad,3]",0,0,0,0,0,0,0,0,0,0
"alpha[ad,4]",0,0,0,0,0,0,0,0,0,0
"alpha[ad,5]",0,0,0,0,0,0,0,0,0,0
"alpha[cc,1]",0,0,0,0,1,0,0,0,0,0
"alpha[cc,2]",0,1,0,0,0,1,0,0,0,0
"alpha[cc,3]",1,1,0,0,0,0,1,0,0,0
"alpha[cc,4]",0,0,0,0,0,0,0,1,1,1
"alpha[cc,5]",0,0,0,0,0,0,0,0,0,0
"alpha[rf,1]",0,0,0,0,0,0,0,1,0,0
"alpha[rf,2]",0,0,0,1,0,0,0,0,1,0
"alpha[rf,3]",0,0,1,1,1,1,1,0,0,1
"alpha[rf,4]",0,0,0,0,0,0,0,0,0,0
"alpha[rf,5]",0,0,0,0,0,0,0,0,0,0
"m[ccfo_tk,1]",0.0,0.0,0,0,0,0,0,0,0,0
"m[ccfo_tk,2]",0.0,0.0,0,0,0,0,0,0,0,0
"m[ccfo_tk,3]",0.0,0.0,0,0,0,0,0,0,0,0
"m[ccfo_tk,4]",0.0,0.0,0,0,0,0,0,0,0,0
"m[ccfo_tk,5]",0.0,0.0,0,0,0,0,0,0,0,0
"m[ccg_tk,1]",0.0,0.0,0,0,0,0,0,0,0,0
"m[ccg_tk,2]",0.0,0.0,0,0,0,0,0,0,0,0
"m[ccg_tk,3]",0.0,0.0,0,0,0,0,0,0,0,0
"m[ccg_tk,4]",0.0,0.0,0,0,0,0,0,0,0,0
"m[ccg_tk,5]",0.0,0.0,0,0,0,0,0,0,0,0
"m[rfg_tk,1]",0.0,0.0,0,0,0,0,0,0,0,0
"m[rfg_tk,2]",0.0,0.0,0,0,0,0,0,0,0,0
"m[rfg_tk,3]",0.0,0.0,0,0,0,0,0,0,0,0
"m[rfg_tk,4]",0.0,0.0,0,0,0,0,0,0,0,0
"m[rfg_tk,5]",0.0,0.0,0,0,0,0,0,0,0,0
